pair_idx,source1_entity_id,candidate_entity_id,candidate_source,label,prob_lightgbm,pred_lightgbm,prob_xgboost,pred_xgboost,prob_catboost,pred_catboost,error_type,error_category,in_lgb,in_xgboost,in_catboost
12401,S1-179474563,S3-243714711,source3,1,0.9577,1,0.94,1,0.8419,0,FN,OTHER_FALSE_NEGATIVE,false,false,true
12800,S1-181567927,S3-422529315,source3,1,0.8252,0,0.8544,0,0.8883,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
13174,S1-183683731,S2-138033509,source2,1,0.1604,0,0.5861,0,0.4826,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
15022,S1-194187427,S3-843421850,source3,1,0.462,0,0.4024,0,0.7131,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
15366,S1-196747008,S3-765157352,source3,1,0.9557,1,0.9315,1,0.8603,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,false,false,true
15483,S1-198529975,S3-128614243,source3,1,0.4364,0,0.22,0,0.3772,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
16089,S1-204918476,S3-126016415,source3,1,0.4846,0,0.6091,0,0.5826,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
16236,S1-206499309,S3-284599852,source3,1,0.0146,0,0.1175,0,0.1059,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
16237,S1-206524887,S3-777589259,source3,1,0.9815,1,0.8062,0,0.8934,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,false,true,true
16886,S1-212282653,S3-720531480,source3,1,0.3025,0,0.3534,0,0.1243,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
16914,S1-212492937,S2-272214985,source2,1,0.3505,0,0.3919,0,0.2686,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
16942,S1-212732484,S3-525004388,source3,1,0.9935,1,0.968,1,0.8057,0,FN,OTHER_FALSE_NEGATIVE,false,false,true
17339,S1-214432606,S3-891618576,source3,1,0.6173,0,0.468,0,0.6548,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
20086,S1-229300707,S2-388698583,source2,1,0.3025,0,0.3534,0,0.1243,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
21541,S1-234698005,S2-687002698,source2,0,0.9554,1,0.8735,0,0.8674,0,FP,OTHER_FALSE_POSITIVE,true,false,false
21764,S1-235335372,S3-572265744,source3,1,0.8632,0,0.7602,0,0.8432,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,true,true,true
21833,S1-235586975,S2-631028550,source2,0,0.9477,1,0.8662,0,0.8908,0,FP,OTHER_FALSE_POSITIVE,true,false,false
22420,S1-239207785,S3-306553751,source3,1,0.6194,0,0.2487,0,0.4081,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
22608,S1-240872995,S3-552371062,source3,1,0.993,1,0.9386,1,0.7817,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,false,false,true
24323,S1-252519381,S2-741145174,source2,1,0.9743,1,0.9192,1,0.8994,0,FN,ABBREVIATION_OR_ACRONYM,false,false,true
25015,S1-257812703,S3-725123230,source3,1,0.0181,0,0.1323,0,0.0541,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,true,true,true
25151,S1-25889688,S2-864388646,source2,1,0.8777,0,0.5429,0,0.5108,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
25245,S1-259452306,S3-787015231,source3,1,0.0285,0,0.044,0,0.0317,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
25246,S1-25954264,S2-763070599,source2,1,0.8831,0,0.8418,0,0.7583,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
26295,S1-264894054,S3-348528084,source3,0,0.9968,1,0.9918,1,0.9824,1,FP,OTHER_FALSE_POSITIVE,true,true,true
26361,S1-265848869,S2-274692733,source2,1,0.0341,0,0.0513,0,0.1227,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
26803,S1-268317178,S3-177365809,source3,1,0.0386,0,0.0648,0,0.0519,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
26808,S1-268700893,S2-654622206,source2,1,0.0146,0,0.073,0,0.0585,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
27058,S1-270092084,S3-452834909,source3,1,0.0728,0,0.1249,0,0.0699,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,true,true,true
27976,S1-274967953,S2-160371417,source2,1,0.8757,0,0.9179,1,0.8995,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,false,true
28228,S1-276132619,S2-426117404,source2,0,0.9991,1,0.9954,1,0.9861,1,FP,SHARED_LOCATION_DIFFERENT_BIZ,true,true,true
28338,S1-277007189,S2-215173585,source2,1,0.7143,0,0.7858,0,0.7667,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
28865,S1-28052141,S2-348551925,source2,1,0.964,1,0.9387,1,0.8732,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,false,false,true
29325,S1-284192016,S3-69691677,source3,1,0.6153,0,0.4252,0,0.2142,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
29921,S1-289936158,S3-711585426,source3,1,0.9714,1,0.9632,1,0.8896,0,FN,OTHER_FALSE_NEGATIVE,false,false,true
31047,S1-296933220,S3-711138006,source3,1,0.2735,0,0.1477,0,0.1717,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,true,true,true
32047,S1-302526871,S3-387482318,source3,1,0.0237,0,0.0518,0,0.0948,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
32813,S1-307913042,S2-968481229,source2,1,0.096,0,0.215,0,0.1067,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
32933,S1-309212199,S3-226039642,source3,1,0.8352,0,0.8596,0,0.8178,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
33328,S1-311138619,S2-227490072,source2,1,0.0037,0,0.0112,0,0.0105,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
33698,S1-313115959,S3-500926556,source3,1,0.746,0,0.6458,0,0.2541,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
34449,S1-317579136,S2-999793401,source2,1,0.0409,0,0.0345,0,0.0541,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
35287,S1-322724100,S2-735096244,source2,1,0.953,1,0.9373,1,0.8803,0,FN,ABBREVIATION_OR_ACRONYM,false,false,true
35611,S1-325716817,S2-790626891,source2,1,0.5033,0,0.8392,0,0.7568,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
35846,S1-326903505,S3-594048455,source3,1,0.3708,0,0.4908,0,0.3681,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
36306,S1-330781666,S2-416989736,source2,1,0.939,1,0.9078,1,0.8826,0,FN,ABBREVIATION_OR_ACRONYM,false,false,true
36683,S1-332159740,S3-7161850,source3,1,0.4562,0,0.3441,0,0.1348,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
37153,S1-33710717,S2-188474350,source2,0,0.878,0,0.9426,1,0.7834,0,FP,OTHER_FALSE_POSITIVE,false,true,false
38966,S1-347869791,S3-944225630,source3,1,0.6588,0,0.7503,0,0.7746,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
39180,S1-349619502,S2-304404558,source2,1,0.9736,1,0.8866,0,0.9014,1,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,false,true,false
39685,S1-351763104,S3-596642475,source3,1,0.3292,0,0.4323,0,0.6638,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
40406,S1-357140726,S2-352986236,source2,1,0.386,0,0.2822,0,0.3976,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
40691,S1-358230521,S3-906943281,source3,1,0.0714,0,0.3827,0,0.3868,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
43011,S1-368864110,S2-325414419,source2,1,0.4686,0,0.8885,0,0.8998,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
43072,S1-369710074,S2-305071473,source2,1,0.1692,0,0.1369,0,0.1408,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
43169,S1-370087413,S3-785037759,source3,1,0.1509,0,0.464,0,0.3678,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
43553,S1-372395061,S2-397854253,source2,1,0.1308,0,0.0729,0,0.1253,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
43559,S1-37255821,S2-152268604,source2,1,0.005,0,0.022,0,0.1588,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
44790,S1-381974831,S3-343129189,source3,1,0.9757,1,0.9235,1,0.8824,0,FN,OTHER_FALSE_NEGATIVE,false,false,true
45808,S1-388589542,S2-120771780,source2,1,0.972,1,0.936,1,0.8922,0,FN,ABBREVIATION_OR_ACRONYM,false,false,true
47047,S1-394126568,S3-256723756,source3,1,0.9862,1,0.9762,1,0.8231,0,FN,ABBREVIATION_OR_ACRONYM,false,false,true
47341,S1-395383261,S3-125879756,source3,1,0.9121,1,0.8317,0,0.9198,1,FN,ABBREVIATION_OR_ACRONYM,false,true,false
47522,S1-397081662,S2-890109648,source2,1,0.8352,0,0.6502,0,0.5892,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
49036,S1-403461984,S3-306590681,source3,1,0.9659,1,0.7991,0,0.9233,1,FN,OTHER_FALSE_NEGATIVE,false,true,false
49068,S1-403679958,S3-553115898,source3,1,0.278,0,0.531,0,0.4189,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
50270,S1-409961376,S2-636625504,source2,1,0.0158,0,0.0103,0,0.1004,0,FN,NAME_DIVERGENCE,true,true,true
50271,S1-409961376,S3-148990151,source3,1,0.8545,0,0.5541,0,0.9302,1,FN,ABBREVIATION_OR_ACRONYM,true,true,false
50537,S1-410843432,S2-641600539,source2,1,0.936,1,0.8593,0,0.782,0,FN,OTHER_FALSE_NEGATIVE,false,true,true
50605,S1-411686889,S2-308932881,source2,1,0.2924,0,0.4121,0,0.1867,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
50916,S1-413425277,S2-271599210,source2,1,0.6944,0,0.3134,0,0.701,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
51660,S1-418182410,S2-134405648,source2,1,0.0944,0,0.193,0,0.2216,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
51876,S1-419129929,S3-717640722,source3,1,0.5521,0,0.4953,0,0.5426,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,true,true,true
51996,S1-419936528,S3-2779862,source3,1,0.9148,1,0.852,0,0.8516,0,FN,OTHER_FALSE_NEGATIVE,false,true,true
52124,S1-420472686,S3-909124064,source3,1,0.8968,0,0.8712,0,0.8912,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
53345,S1-428816937,S2-474889923,source2,1,0.9233,1,0.9034,1,0.8877,0,FN,OTHER_FALSE_NEGATIVE,false,false,true
53355,S1-429162370,S3-558325632,source3,0,0.9365,1,0.8332,0,0.9124,1,FP,OTHER_FALSE_POSITIVE,true,false,true
55652,S1-441821984,S3-890496189,source3,1,0.0023,0,0.006,0,0.0375,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
55680,S1-442414081,S2-525122020,source2,1,0.3541,0,0.3278,0,0.4209,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
56070,S1-444385292,S2-489004332,source2,1,0.1003,0,0.1587,0,0.2468,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,true,true,true
56254,S1-444761187,S2-568686037,source2,1,0.8638,0,0.9068,1,0.9496,1,FN,SEVERE_ADDRESS_DIVERGENCE,true,false,false
56456,S1-445217631,S2-166803526,source2,1,0.6489,0,0.8048,0,0.6858,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
57253,S1-451993718,S3-834265629,source3,1,0.1743,0,0.2126,0,0.4816,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
57845,S1-456377382,S3-924387266,source3,1,0.2049,0,0.2863,0,0.6154,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
58037,S1-457615425,S2-926575050,source2,1,0.6849,0,0.7669,0,0.5564,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
60688,S1-473031691,S3-302536080,source3,1,0.702,0,0.532,0,0.3505,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,true,true,true
61032,S1-475249577,S3-359282372,source3,1,0.3971,0,0.6796,0,0.4158,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
61156,S1-476307303,S2-706628331,source2,1,0.9538,1,0.9064,1,0.7088,0,FN,OTHER_FALSE_NEGATIVE,false,false,true
61430,S1-478383522,S3-292290735,source3,0,0.9876,1,0.9453,1,0.9684,1,FP,OTHER_FALSE_POSITIVE,true,true,true
63323,S1-488871702,S2-241944951,source2,1,0.116,0,0.1366,0,0.1151,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
64682,S1-497964808,S3-190748154,source3,1,0.3014,0,0.3877,0,0.4639,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
65329,S1-502555074,S3-403740975,source3,1,0.5671,0,0.5974,0,0.7589,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
65686,S1-504790211,S2-340882825,source2,1,0.0298,0,0.0316,0,0.0623,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
67504,S1-513595013,S2-685753457,source2,1,0.7919,0,0.732,0,0.6689,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
68590,S1-520357461,S3-34902775,source3,0,0.9717,1,0.9444,1,0.9043,1,FP,OTHER_FALSE_POSITIVE,true,true,true
69594,S1-52573936,S2-771172197,source2,1,0.623,0,0.4334,0,0.5786,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
69597,S1-52573936,S3-175183145,source3,1,0.0013,0,0.0026,0,0.0025,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
70002,S1-52886290,S3-81851034,source3,1,0.8832,0,0.7869,0,0.5516,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,true,true,true
70621,S1-533701421,S2-434618903,source2,1,0.6833,0,0.5546,0,0.5451,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
71230,S1-536123538,S3-445605030,source3,1,0.7978,0,0.7908,0,0.7872,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
71570,S1-537619821,S3-554728394,source3,1,0.2473,0,0.2822,0,0.185,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
71723,S1-538305927,S2-355188251,source2,1,0.6608,0,0.7046,0,0.7358,0,FN,NAME_DIVERGENCE,true,true,true
72903,S1-547641536,S3-430070224,source3,1,0.0911,0,0.4155,0,0.5759,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
74075,S1-555218009,S3-812530968,source3,1,0.7935,0,0.541,0,0.6977,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
74229,S1-555957831,S3-850596301,source3,1,0.0017,0,0.0052,0,0.0035,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
74401,S1-557379384,S3-140894593,source3,1,0.9616,1,0.9122,1,0.8935,0,FN,OTHER_FALSE_NEGATIVE,false,false,true
74623,S1-558847131,S3-165017733,source3,1,0.9449,1,0.8994,0,0.8295,0,FN,ABBREVIATION_OR_ACRONYM,false,true,true
75128,S1-563207993,S2-275007491,source2,1,0.3826,0,0.5689,0,0.5169,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
75211,S1-563919326,S3-581481422,source3,1,0.977,1,0.9345,1,0.7237,0,FN,ABBREVIATION_OR_ACRONYM,false,false,true
77168,S1-574568737,S2-689329503,source2,1,0.0232,0,0.0465,0,0.0478,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
78160,S1-580992307,S3-62710162,source3,1,0.0018,0,0.0019,0,0.0056,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
78636,S1-584055831,S3-878695229,source3,1,0.8486,0,0.7103,0,0.7992,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
79327,S1-588302854,S2-874748213,source2,1,0.1407,0,0.0911,0,0.0693,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
79329,S1-588360895,S2-157435214,source2,1,0.0172,0,0.1487,0,0.3269,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
79474,S1-589484240,S2-469592381,source2,1,0.4068,0,0.5334,0,0.442,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
79757,S1-593387936,S3-255830893,source3,1,0.1158,0,0.1518,0,0.5573,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,true,true,true
80430,S1-597716003,S3-522595590,source3,1,0.9709,1,0.9176,1,0.8174,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,false,false,true
81513,S1-605302995,S2-804102430,source2,1,0.0012,0,0.0029,0,0.0032,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
81701,S1-605524580,S2-710114025,source2,1,0.0,0,0.0,0,0.0001,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
83148,S1-613330043,S3-186168543,source3,1,0.7825,0,0.6472,0,0.6323,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
83821,S1-616597454,S2-32477824,source2,1,0.7887,0,0.4773,0,0.552,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
84168,S1-619379480,S3-828375222,source3,1,0.2396,0,0.2691,0,0.162,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
84177,S1-619611946,S2-921344517,source2,1,0.5443,0,0.4631,0,0.4956,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
84888,S1-624853217,S2-142962044,source2,1,0.0833,0,0.085,0,0.1093,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
85142,S1-626494746,S2-866531719,source2,1,0.2396,0,0.7136,0,0.291,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
85143,S1-626513532,S3-427747746,source3,1,0.9319,1,0.8861,0,0.7853,0,FN,SEVERE_ADDRESS_DIVERGENCE,false,true,true
85683,S1-628910745,S3-870611545,source3,1,0.9355,1,0.8825,0,0.9313,1,FN,OTHER_FALSE_NEGATIVE,false,true,false
85991,S1-631425833,S2-507533577,source2,1,0.3065,0,0.2898,0,0.1062,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
86655,S1-634152028,S3-34326720,source3,1,0.8754,0,0.7416,0,0.8836,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
87181,S1-635401949,S2-877623126,source2,1,0.0064,0,0.0155,0,0.0226,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
87884,S1-640116870,S2-65866639,source2,1,0.8873,0,0.8752,0,0.8536,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
88044,S1-641236003,S3-82107141,source3,0,0.9851,1,0.9758,1,0.967,1,FP,SIMILAR_NAME_BRANCH_MISMATCH,true,true,true
88273,S1-643023296,S3-984544511,source3,1,0.9849,1,0.9201,1,0.8731,0,FN,ABBREVIATION_OR_ACRONYM,false,false,true
89367,S1-650741593,S2-888235254,source2,1,0.9589,1,0.884,0,0.935,1,FN,ABBREVIATION_OR_ACRONYM,false,true,false
89634,S1-652366125,S2-659264662,source2,1,0.9386,1,0.7968,0,0.9286,1,FN,ABBREVIATION_OR_ACRONYM,false,true,false
90026,S1-654395773,S3-334578050,source3,1,0.0126,0,0.1164,0,0.4412,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
90678,S1-657618079,S2-423099834,source2,1,0.0619,0,0.1361,0,0.2655,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
90904,S1-659888182,S2-668547533,source2,0,0.9331,1,0.8508,0,0.8561,0,FP,OTHER_FALSE_POSITIVE,true,false,false
91073,S1-660621852,S2-623142135,source2,1,0.8311,0,0.7689,0,0.6603,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
91527,S1-663777279,S3-707261685,source3,1,0.2576,0,0.1286,0,0.1353,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
91602,S1-664047974,S2-159418478,source2,1,0.2396,0,0.2691,0,0.162,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
92063,S1-667605690,S2-584729438,source2,1,0.0045,0,0.004,0,0.0215,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
92284,S1-670224096,S3-438233731,source3,1,0.9599,1,0.9014,1,0.8483,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,false,false,true
92933,S1-676294630,S2-124173627,source2,1,0.0199,0,0.0704,0,0.076,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
93722,S1-680802703,S2-534906411,source2,1,0.2473,0,0.2822,0,0.185,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
94461,S1-68456921,S3-739042432,source3,1,0.8761,0,0.8003,0,0.7512,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
94639,S1-686104161,S2-21794839,source2,1,0.5633,0,0.3946,0,0.1243,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
95867,S1-693679725,S3-987018544,source3,1,0.1911,0,0.2891,0,0.4525,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
96127,S1-695144304,S2-84905579,source2,1,0.7417,0,0.4055,0,0.4142,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
97147,S1-705467901,S3-86479312,source3,1,0.0015,0,0.001,0,0.0156,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
97279,S1-706591875,S2-811072158,source2,1,0.0845,0,0.1535,0,0.2854,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
97433,S1-708575244,S3-760365275,source3,1,0.4899,0,0.3501,0,0.3919,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
97498,S1-708679840,S3-850428491,source3,1,0.7047,0,0.7134,0,0.7633,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,true,true,true
97964,S1-710958078,S2-546286696,source2,1,0.4751,0,0.5198,0,0.5433,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
98661,S1-716162798,S2-98234472,source2,0,0.9958,1,0.9703,1,0.9761,1,FP,SHARED_LOCATION_DIFFERENT_BIZ,true,true,true
98702,S1-716750121,S3-706770739,source3,1,0.1773,0,0.108,0,0.3301,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
98859,S1-718184733,S3-458728068,source3,1,0.9554,1,0.8073,0,0.928,1,FN,OTHER_FALSE_NEGATIVE,false,true,false
99369,S1-722680687,S2-529058323,source2,1,0.6907,0,0.7192,0,0.5477,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
100248,S1-728784987,S2-254271213,source2,1,0.8293,0,0.8431,0,0.9169,1,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,false
100778,S1-732279973,S3-735039301,source3,1,0.8862,0,0.817,0,0.8819,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
101114,S1-734679368,S2-453229337,source2,1,0.9479,1,0.8453,0,0.832,0,FN,ABBREVIATION_OR_ACRONYM,false,true,true
101232,S1-735803066,S3-769031636,source3,1,0.9621,1,0.8285,0,0.8468,0,FN,OTHER_FALSE_NEGATIVE,false,true,true
101368,S1-736499135,S3-682184579,source3,1,0.9748,1,0.9284,1,0.8889,0,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,false,false,true
101444,S1-73715434,S3-469818823,source3,1,0.0952,0,0.1939,0,0.3111,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
102282,S1-741817106,S3-5823140,source3,1,0.5437,0,0.4937,0,0.2956,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
102931,S1-743910612,S3-857379461,source3,1,0.0204,0,0.0679,0,0.1727,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
103078,S1-744156532,S3-859049709,source3,1,0.9724,1,0.8573,0,0.9056,1,FN,OTHER_FALSE_NEGATIVE,false,true,false
