source1_entity_id,cand_count,gt_matches,pred_matches_82,pred_matches_90,pred_matches_95,top1_prob,top2_prob,prob_margin,has_zero_gt,top1_is_correct,top1_candidate_id,top1_source
S1-102945390,58,0,0,0,0,0.0004,0.0002,0.0001,true,false,S2-648024492,source2
S1-10296920,113,0,0,0,0,0.0,0.0,0.0,true,false,S3-26157292,source3
S1-102973018,1,1,0,0,0,0.8139,0.0,0.8139,false,true,S2-337033433,source2
S1-103125470,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-238469305,source2
S1-103223423,47,0,0,0,0,0.0,0.0,0.0,true,false,S3-53584208,source3
S1-103293741,54,0,0,0,0,0.0,0.0,0.0,true,false,S2-807570161,source2
S1-103401708,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-37368201,source3
S1-103433315,6,0,0,0,0,0.0003,0.0,0.0002,true,false,S2-134405648,source2
S1-103551965,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-657373807,source2
S1-103602194,6,1,0,0,0,0.4229,0.0,0.4229,false,true,S3-56115177,source3
S1-10370502,5,0,0,0,0,0.0001,0.0001,0.0,true,false,S3-967911607,source3
S1-103850945,57,0,0,0,0,0.0,0.0,0.0,true,false,S2-27117854,source2
S1-104065800,4,0,0,0,0,0.0005,0.0,0.0005,true,false,S3-654354077,source3
S1-104210175,36,0,0,0,0,0.77,0.0,0.77,true,false,S2-205614877,source2
S1-104288377,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-148199656,source3
S1-1043533,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-869479311,source3
S1-104419363,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-937619645,source3
S1-104439648,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-752336409,source3
S1-10445846,6,0,0,0,0,0.0133,0.0001,0.0132,true,false,S2-646867412,source2
S1-104472205,5,0,0,0,0,0.0,0.0,0.0,true,false,S2-893736608,source2
S1-104489128,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-213681128,source3
S1-104540583,12,0,0,0,0,0.0,0.0,0.0,true,false,S2-608232729,source2
S1-10461095,35,0,0,0,0,0.0,0.0,0.0,true,false,S2-391886434,source2
S1-104814249,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-387068995,source2
S1-104906090,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-75408449,source2
S1-10491612,1,1,1,0,0,0.8973,0.0,0.8973,false,true,S3-59606543,source3
S1-105011790,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-339142042,source2
S1-105040181,28,0,0,0,0,0.0086,0.0,0.0086,true,false,S3-259510848,source3
S1-105284339,5,0,0,0,0,0.0,0.0,0.0,true,false,S3-441697244,source3
S1-10576259,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-30993220,source3
S1-106011786,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-495928053,source3
S1-106170397,1,1,1,0,0,0.8344,0.0,0.8344,false,true,S3-70544111,source3
S1-106296110,73,0,0,0,0,0.0001,0.0,0.0,true,false,S2-518900547,source2
S1-106408187,3,0,0,0,0,0.0,0.0,0.0,true,false,S3-610386045,source3
S1-106418728,30,0,0,0,0,0.0001,0.0,0.0,true,false,S2-176453879,source2
S1-106470222,3,0,0,0,0,0.0,0.0,0.0,true,false,S2-395448941,source2
S1-10647393,7,0,0,0,0,0.0004,0.0001,0.0003,true,false,S3-704352086,source3
S1-106480523,43,0,0,0,0,0.0,0.0,0.0,true,false,S3-569748241,source3
S1-106766409,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-409647370,source2
S1-106775939,43,0,0,0,0,0.003,0.0001,0.003,true,false,S3-278968813,source3
S1-10678602,42,0,0,0,0,0.0001,0.0,0.0,true,false,S2-621450423,source2
S1-106999917,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-534492273,source2
S1-107061433,43,0,0,0,0,0.0,0.0,0.0,true,false,S3-185808197,source3
S1-107086888,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-866526597,source3
S1-107133664,4,0,0,0,0,0.0001,0.0001,0.0,true,false,S2-809305043,source2
S1-107204769,41,0,0,0,0,0.0,0.0,0.0,true,false,S2-654954617,source2
S1-107246055,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-626373193,source2
S1-10726659,1,0,0,0,0,0.0001,0.0,0.0001,true,false,S2-318105691,source2
S1-107367404,1,0,0,0,0,0.0001,0.0,0.0001,true,false,S3-670025369,source3
S1-107415535,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-28197280,source2
S1-107490330,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-10037767,source3
S1-107778647,4,0,0,0,0,0.0006,0.0005,0.0001,true,false,S2-962278383,source2
S1-10801577,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-800239837,source2
S1-108225323,1,1,1,1,1,0.9987,0.0,0.9987,false,true,S3-275459248,source3
S1-108314429,30,0,0,0,0,0.0,0.0,0.0,true,false,S2-458377596,source2
S1-108346514,5,0,0,0,0,0.0002,0.0,0.0002,true,false,S3-446752337,source3
S1-108494148,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-574369026,source3
S1-108494867,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-428985968,source2
S1-108551334,38,0,0,0,0,0.0,0.0,0.0,true,false,S3-15080674,source3
S1-108566532,38,0,0,0,0,0.0,0.0,0.0,true,false,S2-151193509,source2
S1-108699411,1,0,0,0,0,0.0002,0.0,0.0002,true,false,S2-342852557,source2
S1-108750594,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-328044404,source3
S1-108838295,70,0,0,0,0,0.0001,0.0,0.0,true,false,S3-516727609,source3
S1-108888770,1,0,0,0,0,0.0764,0.0,0.0764,true,false,S2-353165166,source2
S1-108969760,45,0,0,0,0,0.0,0.0,0.0,true,false,S3-825072403,source3
S1-109041683,1,0,0,0,0,0.0049,0.0,0.0049,true,false,S2-723320932,source2
S1-109132023,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-781127469,source2
S1-109258380,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-995735104,source2
S1-109339365,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-849454402,source3
S1-10935410,22,0,0,0,0,0.0,0.0,0.0,true,false,S3-606155390,source3
S1-109461975,1,1,1,1,0,0.9337,0.0,0.9337,false,true,S3-472651362,source3
S1-109593962,38,0,0,0,0,0.0001,0.0,0.0001,true,false,S2-316491987,source2
S1-109703928,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-472781921,source3
S1-109732387,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-937664263,source2
S1-110029585,1,1,1,1,1,0.9991,0.0,0.9991,false,true,S2-280820951,source2
S1-110033759,11,0,0,0,0,0.0,0.0,0.0,true,false,S2-119947975,source2
S1-110036027,27,0,0,0,0,0.0,0.0,0.0,true,false,S3-176339077,source3
S1-11030863,1,0,0,0,0,0.0001,0.0,0.0001,true,false,S2-85336944,source2
S1-110343011,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-914933428,source2
S1-11038305,46,0,0,0,0,0.0,0.0,0.0,true,false,S2-974796269,source2
S1-110429654,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-396200738,source2
S1-110499651,6,0,0,0,0,0.2175,0.0033,0.2142,true,false,S2-655597234,source2
S1-110602510,38,0,0,0,0,0.0,0.0,0.0,true,false,S2-786542656,source2
S1-110714502,2,0,0,0,0,0.0001,0.0,0.0001,true,false,S3-318842620,source3
S1-110865548,22,0,0,0,0,0.0,0.0,0.0,true,false,S3-901949212,source3
S1-110937475,1,0,0,0,0,0.0002,0.0,0.0002,true,false,S3-242636832,source3
S1-111101994,9,0,0,0,0,0.0,0.0,0.0,true,false,S2-247610312,source2
S1-111106874,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-348434736,source2
S1-111197942,1,0,0,0,0,0.0001,0.0,0.0001,true,false,S3-371169465,source3
S1-111263368,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-307694977,source2
S1-111273522,74,0,0,0,0,0.0,0.0,0.0,true,false,S3-45425714,source3
S1-111332401,1,1,1,1,1,0.9955,0.0,0.9955,false,true,S3-454039785,source3
S1-111583520,8,0,0,0,0,0.0,0.0,0.0,true,false,S3-722306181,source3
S1-111650357,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-738706729,source3
S1-11166434,3,0,0,0,0,0.0,0.0,0.0,true,false,S2-237192108,source2
S1-111673633,36,0,0,0,0,0.0001,0.0,0.0,true,false,S2-279776099,source2
S1-111711391,2,1,1,1,1,0.9995,0.0,0.9995,false,true,S2-164900083,source2
S1-11179501,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-222431648,source3
S1-111821062,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-388009895,source2
S1-111821207,1,0,0,0,0,0.0005,0.0,0.0005,true,false,S3-875497953,source3
S1-111822063,24,0,0,0,0,0.0,0.0,0.0,true,false,S3-837988529,source3
S1-111842483,10,1,1,1,1,0.9998,0.0002,0.9996,false,true,S2-739312261,source2
S1-111970994,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-826512377,source3
S1-112162313,4,0,0,0,0,0.0,0.0,0.0,true,false,S2-204008470,source2
S1-112329223,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-107793759,source3
S1-112517467,44,0,0,0,0,0.0002,0.0,0.0001,true,false,S3-779287634,source3
S1-112553621,11,0,0,0,0,0.0,0.0,0.0,true,false,S3-278467857,source3
S1-112554114,4,2,2,2,2,0.996,0.9893,0.0067,false,true,S3-893286299,source3
S1-112583852,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-187697334,source2
S1-112602031,18,0,0,0,0,0.0002,0.0002,0.0,true,false,S3-329810583,source3
S1-11272601,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-872394714,source3
S1-112923460,25,0,0,0,0,0.0,0.0,0.0,true,false,S3-862867548,source3
S1-112949554,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-102690272,source2
S1-112999138,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-840961779,source2
S1-113021199,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-961318602,source2
S1-113169024,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-658953719,source3
S1-113180460,1,0,0,0,0,0.0006,0.0,0.0006,true,false,S2-436282991,source2
S1-113308274,3,0,0,0,0,0.0,0.0,0.0,true,false,S3-328952319,source3
S1-113616197,41,0,0,0,0,0.0,0.0,0.0,true,false,S3-950288857,source3
S1-113619093,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-921202375,source2
S1-113671979,37,0,0,0,0,0.0,0.0,0.0,true,false,S3-428209909,source3
S1-113810229,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-694629008,source3
S1-113840693,1,0,0,0,0,0.0001,0.0,0.0001,true,false,S2-907215253,source2
S1-113951846,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-788062473,source3
S1-114030121,5,0,0,0,0,0.0001,0.0,0.0,true,false,S2-553211088,source2
S1-11408993,1,0,0,0,0,0.0001,0.0,0.0001,true,false,S2-731461355,source2
S1-11414769,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-462035650,source2
S1-114194241,16,0,0,0,0,0.1668,0.0002,0.1667,true,false,S2-227289582,source2
S1-114229458,3,0,0,0,0,0.0,0.0,0.0,true,false,S2-573375520,source2
S1-114265924,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-332605006,source2
S1-114380129,6,0,0,0,0,0.0029,0.0,0.0029,true,false,S2-259053443,source2
S1-11447650,39,0,0,0,0,0.0,0.0,0.0,true,false,S2-428604792,source2
S1-11454997,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-324744026,source3
S1-114649319,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-399394616,source3
S1-114891444,2,0,0,0,0,0.0001,0.0,0.0001,true,false,S3-31437369,source3
S1-11494983,1,0,0,0,0,0.0149,0.0,0.0149,true,false,S3-983809427,source3
S1-114991238,23,0,0,0,0,0.0,0.0,0.0,true,false,S2-609588678,source2
S1-115144711,35,0,0,0,0,0.0001,0.0,0.0001,true,false,S2-864600696,source2
S1-115254797,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-39589263,source3
S1-115568671,18,0,0,0,0,0.0013,0.0004,0.0009,true,false,S2-266310644,source2
S1-115733041,1,1,1,1,1,0.9866,0.0,0.9866,false,true,S2-183790719,source2
S1-115739161,12,0,0,0,0,0.0001,0.0,0.0001,true,false,S2-583492953,source2
S1-115876182,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-433963001,source2
S1-115881588,1,0,0,0,0,0.0001,0.0,0.0001,true,false,S2-770943775,source2
S1-11599922,1,0,0,0,0,0.0001,0.0,0.0001,true,false,S3-523265340,source3
S1-116010043,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-202207374,source3
S1-116227040,8,0,0,0,0,0.0,0.0,0.0,true,false,S3-315431486,source3
S1-116247627,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-887859489,source3
S1-116357657,57,0,0,0,0,0.0001,0.0,0.0,true,false,S3-31437369,source3
S1-116361766,13,0,0,0,0,0.0002,0.0001,0.0001,true,false,S2-795089767,source2
S1-116623167,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-542888329,source3
S1-116643047,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-410472822,source3
S1-116684380,29,0,0,0,0,0.0001,0.0,0.0001,true,false,S3-939786038,source3
S1-116785875,1,0,0,0,0,0.0124,0.0,0.0124,true,false,S3-397429176,source3
S1-116808389,3,0,0,0,0,0.014,0.0,0.014,true,false,S3-177612046,source3
S1-117064429,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-409215355,source2
S1-117096888,30,0,0,0,0,0.0,0.0,0.0,true,false,S3-848410215,source3
S1-117150004,2,1,0,0,0,0.0258,0.0,0.0258,false,true,S2-991691724,source2
S1-117227369,1,0,0,0,0,0.0026,0.0,0.0026,true,false,S3-927916650,source3
S1-117240365,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-133508159,source2
S1-117321194,4,0,0,0,0,0.0,0.0,0.0,true,false,S2-766334271,source2
S1-117412847,13,0,0,0,0,0.0001,0.0001,0.0,true,false,S2-6559339,source2
S1-117436807,30,0,0,0,0,0.0,0.0,0.0,true,false,S2-455922884,source2
S1-117454975,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-696104880,source3
S1-117544706,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-853612106,source2
S1-117588400,13,0,0,0,0,0.0001,0.0001,0.0,true,false,S3-723358649,source3
S1-117708552,5,0,0,0,0,0.0,0.0,0.0,true,false,S2-568578886,source2
S1-117858081,26,0,0,0,0,0.0,0.0,0.0,true,false,S3-516953165,source3
S1-117954160,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-944263805,source2
S1-118084305,6,0,0,0,0,0.0002,0.0001,0.0001,true,false,S3-834481565,source3
S1-118248054,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-259757440,source3
S1-118338310,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-999798746,source3
S1-118463867,2,0,0,0,0,0.0001,0.0001,0.0,true,false,S3-556785725,source3
S1-11850680,3,0,0,0,0,0.0001,0.0,0.0001,true,false,S3-646743390,source3
S1-118602223,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-200956306,source3
S1-118613920,32,0,0,0,0,0.0,0.0,0.0,true,false,S2-671649180,source2
S1-118684401,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-379609802,source3
S1-118813956,3,0,0,0,0,0.0,0.0,0.0,true,false,S3-973037798,source3
S1-118999722,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-320602361,source2
S1-119168141,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-734301681,source3
S1-119171444,36,0,0,0,0,0.0,0.0,0.0,true,false,S2-901785576,source2
S1-119217493,38,0,0,0,0,0.0004,0.0001,0.0003,true,false,S2-66924417,source2
S1-119262573,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-915172172,source3
S1-119279828,7,0,0,0,0,0.0,0.0,0.0,true,false,S2-614786096,source2
S1-119458643,25,0,0,0,0,0.0,0.0,0.0,true,false,S3-264741840,source3
S1-119761551,33,0,0,0,0,0.0,0.0,0.0,true,false,S2-43810733,source2
S1-119783341,57,0,0,0,0,0.0,0.0,0.0,true,false,S2-706043760,source2
S1-119818523,9,0,0,0,0,0.0001,0.0,0.0,true,false,S2-365201421,source2
S1-119826196,24,0,0,0,0,0.0867,0.0,0.0866,true,false,S3-617650221,source3
S1-119896857,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-195865543,source2
S1-120176877,1,1,0,0,0,0.5949,0.0,0.5949,false,true,S3-859735351,source3
S1-120176920,2,1,1,1,1,0.9951,0.0,0.9951,false,true,S2-158572268,source2
S1-120365256,8,0,0,0,0,0.0001,0.0,0.0,true,false,S3-148910668,source3
S1-120391344,1,0,0,0,0,0.0002,0.0,0.0002,true,false,S2-541208228,source2
S1-12041665,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-641807236,source2
S1-120641530,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-785635928,source3
S1-120848698,39,0,0,0,0,0.0,0.0,0.0,true,false,S2-171688840,source2
S1-120904830,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-781358249,source2
S1-120957576,14,0,0,0,0,0.0002,0.0002,0.0,true,false,S2-774596915,source2
S1-121055319,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-106706127,source3
S1-121249943,12,0,0,0,0,0.0001,0.0001,0.0,true,false,S3-602703147,source3
S1-121428705,2,1,1,1,0,0.9046,0.0,0.9045,false,true,S2-783860047,source2
S1-121581827,15,0,0,0,0,0.007,0.0003,0.0067,true,false,S3-689689104,source3
S1-121604997,2,0,0,0,0,0.0001,0.0,0.0,true,false,S2-76634487,source2
S1-121623097,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-32834545,source3
S1-121664621,3,0,0,0,0,0.0004,0.0001,0.0003,true,false,S2-392958095,source2
S1-121832292,5,0,0,0,0,0.0489,0.0016,0.0473,true,false,S2-180809434,source2
S1-121839562,3,1,0,0,0,0.001,0.0,0.001,false,true,S3-42114892,source3
S1-121982108,4,0,0,0,0,0.0,0.0,0.0,true,false,S2-912624364,source2
S1-122003718,58,0,0,0,0,0.0,0.0,0.0,true,false,S2-249209933,source2
S1-122215341,2,0,0,0,0,0.0002,0.0,0.0002,true,false,S2-712777388,source2
S1-122252916,1,0,0,0,0,0.0001,0.0,0.0001,true,false,S3-23078059,source3
S1-122297973,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-443722463,source3
S1-122423457,51,0,0,0,0,0.5365,0.0003,0.5362,true,false,S2-920240066,source2
S1-122501928,32,0,0,0,0,0.0,0.0,0.0,true,false,S3-51661,source3
S1-122637196,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-707939285,source2
S1-122671204,42,0,0,0,0,0.0,0.0,0.0,true,false,S3-922309888,source3
S1-122910153,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-446769837,source3
S1-122998753,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-162141482,source3
S1-123056977,3,0,0,0,0,0.0,0.0,0.0,true,false,S2-616882745,source2
S1-123141974,3,0,0,0,0,0.0,0.0,0.0,true,false,S2-582342584,source2
S1-123207269,5,0,0,0,0,0.0,0.0,0.0,true,false,S3-94784419,source3
S1-123433903,35,0,0,0,0,0.0,0.0,0.0,true,false,S2-55421595,source2
S1-123491722,4,0,0,0,0,0.0007,0.0001,0.0005,true,false,S3-503646152,source3
S1-123654641,2,0,0,0,0,0.0004,0.0,0.0003,true,false,S2-468890387,source2
S1-123756506,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-918501996,source2
S1-124084010,2,0,0,0,0,0.0001,0.0001,0.0,true,false,S2-914059095,source2
S1-124094285,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-52378572,source3
S1-124216627,24,0,0,0,0,0.0,0.0,0.0,true,false,S3-793285527,source3
S1-124308942,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-276207646,source2
S1-124312817,2,0,0,0,0,0.0003,0.0,0.0003,true,false,S2-88662644,source2
S1-124378508,49,0,0,0,0,0.0,0.0,0.0,true,false,S3-4086513,source3
S1-124391901,11,1,1,1,1,0.9988,0.0001,0.9987,false,true,S2-911676239,source2
S1-124451267,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-546952413,source3
S1-124467266,9,0,0,0,0,0.0,0.0,0.0,true,false,S2-761100841,source2
S1-124608680,1,0,0,0,0,0.0067,0.0,0.0067,true,false,S3-153134565,source3
S1-124794328,30,1,0,0,0,0.4785,0.0,0.4784,false,true,S3-136780158,source3
S1-124830824,14,0,0,0,0,0.0002,0.0001,0.0001,true,false,S2-577335449,source2
S1-12485775,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-471616572,source2
S1-12487330,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-15352348,source3
S1-125012286,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-112603471,source3
S1-125132307,26,0,0,0,0,0.0,0.0,0.0,true,false,S3-227152998,source3
S1-125210246,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-280423223,source2
S1-125288628,47,0,0,0,0,0.0,0.0,0.0,true,false,S2-360065271,source2
S1-125294099,1,0,0,0,0,0.0046,0.0,0.0046,true,false,S2-226252133,source2
S1-125409562,1,0,0,0,0,0.0001,0.0,0.0001,true,false,S2-667054207,source2
S1-125466337,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-566737083,source2
S1-125516375,36,0,0,0,0,0.0,0.0,0.0,true,false,S3-527980140,source3
S1-125727282,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-981704816,source2
S1-125736209,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-305981168,source3
S1-125769364,41,0,0,0,0,0.0,0.0,0.0,true,false,S3-321834140,source3
S1-125787212,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-72648497,source2
S1-126022441,1,0,0,0,0,0.0001,0.0,0.0001,true,false,S2-865241419,source2
S1-126149127,74,0,0,0,0,0.0001,0.0,0.0001,true,false,S2-161956716,source2
S1-126258727,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-663535316,source3
S1-126263710,11,0,0,0,0,0.0001,0.0001,0.0,true,false,S2-593694466,source2
S1-126393436,56,0,0,0,0,0.0001,0.0,0.0001,true,false,S3-216014667,source3
S1-126440778,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-998494153,source2
S1-126596861,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-910839611,source2
S1-126698081,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-210993421,source2
S1-126740965,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-627880413,source2
S1-126743116,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-435618767,source2
S1-126767089,1,0,0,0,0,0.2695,0.0,0.2695,true,false,S2-451992935,source2
S1-126776364,113,0,0,0,0,0.0,0.0,0.0,true,false,S3-344183576,source3
S1-12685940,1,1,1,1,1,0.9817,0.0,0.9817,false,true,S3-620156041,source3
S1-126927804,4,0,0,0,0,0.0409,0.0,0.0409,true,false,S3-51661,source3
S1-12699088,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-739585711,source2
S1-127186532,1,0,0,0,0,0.3505,0.0,0.3505,true,false,S3-534699114,source3
S1-127222577,42,0,0,0,0,0.0,0.0,0.0,true,false,S2-560449715,source2
S1-127303749,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-845577049,source2
S1-127314399,9,0,0,0,0,0.0001,0.0001,0.0,true,false,S3-75465587,source3
S1-12736716,2,2,2,2,2,0.999,0.9974,0.0016,false,true,S2-564246707,source2
S1-127394375,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-796510564,source3
S1-127444556,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-820633064,source2
S1-127463334,48,0,0,0,0,0.0,0.0,0.0,true,false,S3-969479300,source3
S1-127605228,1,0,0,0,0,0.0012,0.0,0.0012,true,false,S2-101252955,source2
S1-12775585,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-620016564,source2
S1-127766388,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-399928389,source2
S1-127835134,7,0,0,0,0,0.0001,0.0001,0.0,true,false,S2-492378323,source2
S1-127987934,3,0,0,0,0,0.0731,0.0,0.0731,true,false,S3-634655058,source3
S1-128371993,4,0,0,0,0,0.0,0.0,0.0,true,false,S2-703306612,source2
S1-128603737,14,0,0,0,0,0.0002,0.0001,0.0001,true,false,S2-922138256,source2
