analysis_threshold,error_type,error_category,source1_entity_id,candidate_entity_id,candidate_source,country,predicted_prob,name_char_3gram_jaccard,address_char_3gram_similarity,shared_address_number_count,address_missing_candidate
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-456377382,S3-924387266,source3,india,0.20486014,0.8214286,0.0952381,1,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-848766993,S2-68125772,source2,united states,0.21133608,0.4090909,0.5471698,0,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-915479091,S3-318543180,source3,united states,0.23530973,0.6,0.23076923,1,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-626494746,S2-866531719,source2,united states,0.23961987,0.32,0.3265306,1,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-619379480,S3-828375222,source3,united states,0.23962277,1.0,0.0,0,1
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-664047974,S2-159418478,source2,india,0.23962277,1.0,0.0,0,1
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-88619407,S3-64834698,source3,united states,0.2454083,0.7619048,0.28125,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-537619821,S3-554728394,source3,united states,0.24727972,1.0,0.0,0,1
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-680802703,S2-534906411,source2,india,0.24727972,1.0,0.0,0,1
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-923871898,S2-128664955,source2,india,0.24985379,0.13157895,1.0,2,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-663777279,S3-707261685,source3,india,0.2575757,0.71428573,0.24210526,1,0
0.82,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,S1-296933220,S3-711138006,source3,united states,0.27351364,0.46875,0.7209302,0,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-879285964,S3-472910996,source3,india,0.27408057,0.6,0.19402985,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-403679958,S3-553115898,source3,india,0.2779977,0.5882353,0.52307695,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-411686889,S2-308932881,source2,india,0.29243746,1.0,0.0,0,1
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-497964808,S3-190748154,source3,united states,0.30143857,0.24,0.42222223,1,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-212282653,S3-720531480,source3,united states,0.30248225,1.0,0.0,0,1
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-229300707,S2-388698583,source2,united states,0.30248225,1.0,0.0,0,1
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-631425833,S2-507533577,source2,united states,0.30654156,0.9166667,0.0,0,1
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-351763104,S3-596642475,source3,india,0.3291573,0.36363637,0.70238096,2,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-788981743,S3-91350493,source3,united states,0.3346529,0.75555557,0.72,2,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-212492937,S2-272214985,source2,india,0.3504773,1.0,0.0,0,1
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-442414081,S2-525122020,source2,united states,0.35408822,0.6666667,0.2244898,1,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-326903505,S3-594048455,source3,india,0.37082005,0.46153846,0.8305085,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-563207993,S2-275007491,source2,united states,0.38264045,0.9791667,0.5952381,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-357140726,S2-352986236,source2,united states,0.38600594,0.8333333,0.71428573,0,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-850924985,S3-261143005,source3,india,0.39205492,0.08695652,0.969697,0,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-475249577,S3-359282372,source3,india,0.39710912,0.4883721,0.7704918,0,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-589484240,S2-469592381,source2,india,0.40680933,0.48,0.8857143,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-826486940,S3-44940343,source3,india,0.4223484,0.6486486,0.7619048,0,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-103602194,S3-56115177,source3,united states,0.42286593,1.0,0.3265306,0,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-198529975,S3-128614243,source3,india,0.43642998,0.5217391,0.5326087,0,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-332159740,S3-7161850,source3,india,0.45621753,1.0,0.14736842,0,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-194187427,S3-843421850,source3,united states,0.46199587,1.0,0.51282054,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-368864110,S2-325414419,source2,india,0.46859896,0.4814815,0.32911393,1,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-710958078,S2-546286696,source2,united states,0.47514644,0.875,0.64285713,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-124794328,S3-136780158,source3,united states,0.47845125,0.54545456,0.6111111,1,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-204918476,S3-126016415,source3,united states,0.48464483,0.85714287,0.5625,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-815313381,S3-990946181,source3,india,0.48861268,0.47826087,0.72839504,1,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-708575244,S3-760365275,source3,united states,0.4898699,0.7619048,0.64444447,0,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-171092607,S3-793422792,source3,united states,0.49919355,0.84,0.29508197,1,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-325716817,S2-790626891,source2,india,0.5033286,0.53571427,0.7777778,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-136461355,S3-433729747,source3,india,0.50791883,1.0,0.0,0,1
0.82,FN,OTHER_FALSE_NEGATIVE,S1-980503458,S2-728468507,source2,united states,0.531974,0.8125,0.65,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-958105702,S3-711630323,source3,united states,0.54044545,0.75,0.66,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-741817106,S3-5823140,source3,india,0.5437307,0.62068963,0.35714287,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-619611946,S2-921344517,source2,united states,0.54425526,0.86206895,0.6875,0,0
0.82,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,S1-419129929,S3-717640722,source3,united states,0.5521343,0.5294118,0.6888889,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-686104161,S2-21794839,source2,united states,0.56326765,1.0,0.0,0,1
0.82,FN,OTHER_FALSE_NEGATIVE,S1-502555074,S3-403740975,source3,united states,0.567143,0.6052632,0.53571427,2,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-776777072,S2-203124047,source2,india,0.59046936,0.2,1.0,1,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-120176877,S3-859735351,source3,united states,0.59486437,0.875,0.36065573,0,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-284192016,S3-69691677,source3,united states,0.6152637,0.64705884,0.25,1,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-214432606,S3-891618576,source3,india,0.6172695,1.0,0.28181818,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-239207785,S3-306553751,source3,united states,0.6194147,0.8666667,0.64705884,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-52573936,S2-771172197,source2,india,0.6229926,0.9,0.7529412,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-943679421,S2-229962546,source2,united states,0.63147,0.8518519,0.9032258,0,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-445217631,S2-166803526,source2,united states,0.64886636,0.71875,0.59574467,0,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-979761591,S3-54236015,source3,united states,0.64993584,1.0,0.55263156,0,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-347869791,S3-944225630,source3,india,0.6587809,1.0,0.21686748,1,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-156513520,S3-284947176,source3,united states,0.65997326,0.6315789,0.42,1,0
0.82,FN,NAME_DIVERGENCE,S1-538305927,S2-355188251,source2,united states,0.660791,0.3243243,1.0,1,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-951113242,S3-532651626,source3,united states,0.68204427,0.875,0.4864865,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-533701421,S2-434618903,source2,united states,0.6832859,0.7894737,0.8214286,0,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-457615425,S2-926575050,source2,united states,0.6848845,0.6511628,0.6136364,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-722680687,S2-529058323,source2,united states,0.69066244,0.7916667,0.57894737,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-413425277,S2-271599210,source2,united states,0.69438785,0.53333336,1.0,1,0
0.82,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,S1-473031691,S3-302536080,source3,united states,0.7019813,0.2413793,0.63265306,1,0
0.82,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,S1-708679840,S3-850428491,source3,india,0.70472234,0.5555556,0.23255815,1,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-277007189,S2-215173585,source2,united states,0.7142825,0.75,0.6857143,1,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-997242359,S2-122170914,source2,india,0.72780854,0.84210527,0.765625,0,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-155701350,S3-245618183,source3,india,0.7383758,1.0,0.19791667,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-695144304,S2-84905579,source2,united states,0.74167687,0.7777778,0.5106383,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-313115959,S3-500926556,source3,united states,0.74604505,0.5,0.4716981,1,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-151714625,S3-451071182,source3,united states,0.7769526,0.8,0.24444444,1,0
0.82,FN,NAME_DIVERGENCE,S1-871902965,S2-832022865,source2,india,0.7814251,0.3548387,1.0,1,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-613330043,S3-186168543,source3,india,0.7824803,0.6,0.42708334,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-161016043,S3-797831831,source3,united states,0.782629,0.8181818,0.5714286,0,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-825777859,S2-736347708,source2,united states,0.78573275,0.2,0.75,1,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-616597454,S2-32477824,source2,united states,0.78867555,0.6785714,0.84375,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-513595013,S2-685753457,source2,india,0.79194605,1.0,0.0,0,1
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-555218009,S3-812530968,source3,india,0.7935263,1.0,0.29310346,0,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-536123538,S3-445605030,source3,india,0.79783696,0.23636363,0.89361703,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-979288927,S2-238808154,source2,united states,0.8122082,0.7647059,0.65789473,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-941417027,S3-967747607,source3,united states,0.8135317,0.8095238,0.6052632,0,0
0.82,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,S1-934461604,S2-967876765,source2,united states,0.8136619,0.29411766,1.0,1,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-102973018,S2-337033433,source2,united states,0.8138736,1.0,0.3243243,0,0
0.9,FP,SHARED_LOCATION_DIFFERENT_BIZ,S1-276132619,S2-426117404,source2,india,0.9990523,0.64285713,0.82894737,1,0
0.9,FP,SHARED_LOCATION_DIFFERENT_BIZ,S1-842614852,S2-92900333,source2,india,0.998146,0.52,1.0,1,0
0.9,FP,OTHER_FALSE_POSITIVE,S1-264894054,S3-348528084,source3,united states,0.99676126,0.84615386,0.516129,1,0
0.9,FP,SHARED_LOCATION_DIFFERENT_BIZ,S1-716162798,S2-98234472,source2,united states,0.9957783,0.57575756,1.0,1,0
0.9,FP,OTHER_FALSE_POSITIVE,S1-922429406,S2-970808601,source2,india,0.99155664,0.24324325,0.5185185,1,0
0.9,FP,OTHER_FALSE_POSITIVE,S1-478383522,S3-292290735,source3,india,0.9875624,0.5,0.5,1,0
0.9,FP,SIMILAR_NAME_BRANCH_MISMATCH,S1-641236003,S3-82107141,source3,india,0.985137,1.0,0.33333334,0,0
0.9,FP,OTHER_FALSE_POSITIVE,S1-520357461,S3-34902775,source3,united states,0.97170556,0.7647059,0.578125,1,0
0.9,FP,OTHER_FALSE_POSITIVE,S1-944137003,S3-726108094,source3,united states,0.970056,1.0,0.6603774,0,0
0.9,FP,OTHER_FALSE_POSITIVE,S1-148825883,S2-420994904,source2,india,0.9622595,0.8064516,0.875,0,0
0.9,FP,OTHER_FALSE_POSITIVE,S1-234698005,S2-687002698,source2,india,0.9554254,0.72727275,0.7625,1,0
0.9,FP,OTHER_FALSE_POSITIVE,S1-918589311,S3-422487378,source3,united states,0.9509548,0.8518519,0.51428574,1,0
0.9,FP,OTHER_FALSE_POSITIVE,S1-235586975,S2-631028550,source2,india,0.94765985,0.64705884,0.72839504,2,0
0.9,FP,OTHER_FALSE_POSITIVE,S1-429162370,S3-558325632,source3,united states,0.93651223,0.68,0.6666667,1,0
0.9,FP,OTHER_FALSE_POSITIVE,S1-659888182,S2-668547533,source2,united states,0.9330947,0.8888889,0.55263156,0,0
0.9,FP,ADDRESS_NUMBER_COLLISION,S1-972480708,S2-951146455,source2,united states,0.9254676,0.44186047,0.35135135,1,0
0.9,FN,MISSING_ADDRESS_EVIDENCE,S1-605524580,S2-710114025,source2,india,0.0000031259037,0.4074074,0.0,0,1
0.9,FN,MISSING_ADDRESS_EVIDENCE,S1-121839562,S3-42114892,source3,united states,0.0010021692,0.76666665,0.0,0,1
0.9,FN,SEVERE_ADDRESS_DIVERGENCE,S1-77567238,S3-923426508,source3,india,0.00109582,1.0,0.12857144,0,0
0.9,FN,MISSING_ADDRESS_EVIDENCE,S1-605302995,S2-804102430,source2,india,0.0011688197,0.6875,0.0,0,1
0.9,FN,OTHER_FALSE_NEGATIVE,S1-52573936,S3-175183145,source3,india,0.0012946273,0.5882353,0.13095239,0,0
0.9,FN,OTHER_FALSE_NEGATIVE,S1-705467901,S3-86479312,source3,united states,0.0014685044,0.5135135,0.4473684,0,0
0.9,FN,SEVERE_ADDRESS_DIVERGENCE,S1-555957831,S3-850596301,source3,india,0.0016813216,1.0,0.13043478,0,0
0.9,FN,SEVERE_ADDRESS_DIVERGENCE,S1-580992307,S3-62710162,source3,india,0.0017656155,0.625,0.20289855,0,0
0.9,FN,SEVERE_ADDRESS_DIVERGENCE,S1-441821984,S3-890496189,source3,india,0.002304198,0.6060606,0.14754099,1,0
0.9,FN,MISSING_ADDRESS_EVIDENCE,S1-943719187,S2-867170522,source2,united states,0.0024432736,0.7222222,0.0,0,1
